Sample,Strain,Phase,Replicate
R1Pre,Reference,log,1
R2Pre,Reference,log,2
R3Pre,Reference,log,3
R4Pre,Reference,log,4
R5Pre,Reference,log,5
R6Pre,Reference,log,6
T1Pre,tda1∆,log,1
T3Pre,tda1∆,log,3
T4Pre,tda1∆,log,4
T5Pre,tda1∆,log,5
T6Pre,tda1∆,log,6
R1Post,Reference,PDS,1
R2Post,Reference,PDS,2
R3Post,Reference,PDS,3
R4Post,Reference,PDS,4
R5Post,Reference,PDS,5
R6Post,Reference,PDS,6
T1Post,tda1∆,PDS,1
T3Post,tda1∆,PDS,3
T4Post,tda1∆,PDS,4
T5Post,tda1∆,PDS,5
T6Post,tda1∆,PDS,6